City,State,Latitude,Longitude
New York,NY,40.7127837,-74.0059413
Los Angeles,CA,34.0522342,-118.2436849
Chicago,IL,41.8781136,-87.6297982
Houston,TX,29.7604267,-95.3698028
Phoenix,AZ,33.4483771,-112.0740373
Philadelphia,PA,39.9525839,-75.1652215
San Antonio,TX,29.4241219,-98.4936282
San Diego,CA,32.715738,-117.1610838
Dallas,TX,32.7766642,-96.7969879
San Jose,CA,37.3382072,-121.8863286
Austin,TX,30.267153,-97.7430608
Jacksonville,FL,30.3321838,-81.655651
Fort Worth,TX,32.7554883,-97.3307658
Columbus,OH,39.9611755,-82.9987942
Indianapolis,IN,39.768403,-86.158068
Charlotte,NC,35.2270869,-80.8431267
San Francisco,CA,37.7749295,-122.4194155
Seattle,WA,47.6062095,-122.3320708
Denver,CO,39.7392358,-104.990251
Washington,DC,38.9071923,-77.0368707
